BookID,ISBN,Title,AuthorID,PublisherID,Genre,SubGenre,Language,PublicationYear,Format,Pages,UnitCost,UnitPrice,Rating,ReviewCount
1,978-154-34701-3,The Hidden Orchard,381,46,Mystery,Cozy Mystery,English,2005,Paperback,688,9.17,22.2,4.1,159
2,978-675-35244-1,The Broken Promise,305,34,Mystery,Noir,English,2005,eBook,783,6.29,11.3,4.5,251
3,978-379-23765-1,The Fading Orchard,175,77,Fiction,Literary Fiction,Spanish,1991,Paperback,786,13.82,27.26,3.0,36
4,978-281-51224-4,The Shattered Garden,9,5,Thriller,Psychological Thriller,English,1999,Paperback,466,8.36,17.76,3.8,74
5,978-115-11438-7,The Silent Echo,165,55,History,World History,Chinese,1994,Paperback,746,13.03,22.38,5.0,233
6,978-898-70831-0,The Midnight Chronicle,139,41,Young Adult,YA Contemporary,Spanish,2010,Paperback,744,12.81,23.2,3.8,109
7,978-852-85843-0,The Ancient Garden,249,58,Cooking,Quick Meals,German,2013,Paperback,502,5.27,13.77,5.0,340
8,978-829-60446-4,The Ancient Harbor,221,47,Horror,Gothic Horror,Italian,2004,eBook,145,2.82,5.35,3.4,100
9,978-152-55192-8,The Frozen Mirror,87,76,Romance,Historical Romance,English,2010,Hardcover,203,13.47,24.6,3.5,189
10,978-414-93434-2,The Scarlet Flame,221,48,Poetry,Spoken Word,English,1997,Hardcover,580,14.16,29.18,3.5,29
11,978-973-62169-8,The Fading Symphony,61,23,Science Fiction,Hard Sci-Fi,Spanish,2020,eBook,701,4.84,11.56,3.2,38
12,978-620-75596-7,The Forgotten Horizon,24,47,Mystery,Crime Thriller,English,1990,eBook,758,4.78,11.7,3.0,187
13,978-215-49133-2,The Secret Promise,462,80,Thriller,Legal Thriller,Spanish,2008,eBook,290,5.34,9.0,3.8,44
14,978-226-55958-7,The Scarlet River,438,34,History,Cultural History,Portuguese,2001,Paperback,749,9.9,21.55,4.0,251
15,978-336-93592-6,The Endless Labyrinth,498,45,Mystery,Detective,English,2006,Audiobook,698,11.14,23.23,3.5,46
16,978-974-73586-4,The Restless Horizon,46,55,Cooking,World Cuisine,Japanese,2008,Paperback,459,10.87,21.76,3.6,24
17,978-252-38764-3,The Fading Flame,339,54,Romance,Historical Romance,Spanish,2013,Paperback,381,4.65,12.39,4.7,95
18,978-911-54793-7,The Golden Flame,438,88,Thriller,Legal Thriller,German,2023,Paperback,450,6.01,16.24,4.4,36
19,978-709-59980-7,The Distant Horizon,201,98,Children,Picture Book,English,2010,Paperback,592,6.96,17.42,3.8,139
20,978-928-12462-6,The Golden Symphony,496,36,Biography,Celebrity Biography,English,1998,Paperback,687,7.14,19.48,4.1,9
21,978-842-55635-8,The Frozen Echo,484,66,Biography,Celebrity Biography,Portuguese,2008,Audiobook,240,7.46,12.98,3.0,238
22,978-398-52454-4,The Restless Flame,90,54,Business,Leadership,Chinese,2008,Paperback,354,5.25,13.56,4.0,101
23,978-844-21472-7,The Shattered Compass,434,69,Biography,Political Biography,English,2021,Hardcover,204,8.97,22.07,3.9,148
24,978-252-73136-7,The Hidden Chronicle,36,85,Fantasy,Urban Fantasy,English,2010,Paperback,776,9.08,18.75,3.7,153
25,978-361-18347-1,The Golden Mirror,78,85,Young Adult,YA Romance,English,2021,Paperback,404,10.39,18.1,3.9,107
26,978-290-88926-0,The Restless Orchard,61,40,Young Adult,YA Fantasy,English,2013,eBook,295,3.13,8.64,3.8,125
27,978-219-55737-3,The Ancient Labyrinth,491,97,Mystery,Noir,English,2010,Audiobook,262,7.03,17.41,3.2,58
28,978-180-94547-7,The Burning Shadow,427,14,Poetry,Contemporary Poetry,Portuguese,2001,eBook,172,3.34,6.31,4.8,198
