CustomerID,Gender,Age,AgeGroup,Country,City,MembershipType,JoinDate
1,Female,47,45-54,United States,Seattle,Gold,2022-11-14
2,Male,40,35-44,United Kingdom,Leeds,Gold,2023-12-17
3,Female,55,55-64,United Kingdom,Glasgow,None,2023-01-04
4,Male,26,25-34,United States,Phoenix,Gold,2022-09-03
5,Female,35,35-44,United States,Boston,Silver,2023-03-25
6,Male,80,65+,Australia,Brisbane,Gold,2023-06-13
7,Male,19,18-24,United Kingdom,Manchester,None,2022-02-21
8,Male,73,65+,Germany,Berlin,Gold,2025-02-15
9,Male,77,65+,France,Paris,None,2022-04-09
10,Female,33,25-34,Egypt,Cairo,Gold,2023-02-24
11,Female,50,45-54,Germany,Berlin,None,2023-06-17
12,Female,62,55-64,Brazil,Rio de Janeiro,Platinum,2025-06-08
13,Male,29,25-34,South Korea,Busan,Platinum,2024-06-13
14,Female,65,65+,Canada,Ottawa,Silver,2022-06-25
15,Male,79,65+,United States,Houston,Platinum,2024-03-04
16,Female,50,45-54,United States,Boston,None,2023-09-12
17,Female,75,65+,India,Bangalore,Silver,2023-01-18
18,Male,56,55-64,United Kingdom,Manchester,Gold,2024-11-06
19,Male,17,Under 18,United States,Houston,Gold,2022-03-30
20,Female,74,65+,United States,Chicago,None,2023-06-05
21,Female,50,45-54,United Kingdom,Leeds,None,2025-04-26
22,Male,49,45-54,United States,Phoenix,None,2024-08-27
23,Male,32,25-34,South Korea,Seoul,None,2022-08-12
24,Female,47,45-54,United States,Seattle,None,2025-12-08
25,Male,48,45-54,United States,Phoenix,Gold,2025-01-22
26,Male,67,65+,Sweden,Stockholm,Silver,2022-03-04
27,Female,55,55-64,China,Shenzhen,None,2025-07-04
28,Female,81,65+,South Korea,Seoul,None,2022-02-17
29,Male,34,25-34,Spain,Barcelona,None,2023-12-29
30,Female,79,65+,Canada,Calgary,Silver,2024-05-29
31,Male,65,65+,United States,Seattle,None,2023-02-09
32,Male,58,55-64,Brazil,Brasilia,Gold,2025-10-23
33,Male,60,55-64,United Kingdom,Leeds,None,2025-02-24
34,Female,53,45-54,United States,Phoenix,Platinum,2023-12-18
35,Female,21,18-24,Japan,Osaka,Gold,2023-11-05
