event_id,match_id,minute,event_type,team_id,player_id
1,1,17,Yellow Card,2,30
2,1,23,Yellow Card,1,26
3,1,55,Red Card,2,39
4,1,55,VAR Review,2,39
5,1,67,Goal,1,9
6,1,67,Assist,1,25
7,1,74,Yellow Card,2,45
8,1,84,Red Card,2,37
9,1,86,Red Card,1,3
10,1,9,Goal,1,16
11,1,9,Assist,1,6
12,2,59,Goal,4,85
13,2,59,Assist,4,83
14,2,67,Goal,3,58
15,2,67,Assist,3,71
16,2,80,Goal,3,70
17,2,80,Assist,3,58
18,2,90,Yellow Card,3,55
19,3,11,Yellow Card,5,106
20,3,21,Goal,6,155
21,3,21,Assist,6,135
22,3,44,Yellow Card,6,140
23,3,45,Yellow Card,6,155
24,3,53,Yellow Card,5,108
25,3,78,Goal,5,113
26,3,78,Assist,5,128
27,3,90,Yellow Card,6,148
28,4,31,Goal,13,332
29,4,31,Assist,13,322
30,4,45,Goal,13,332
31,4,45,Assist,13,329
32,4,53,Yellow Card,14,348
33,4,59,Yellow Card,13,316
34,4,7,Goal,13,354
35,4,73,Goal,14,349
36,4,73,Assist,14,357
37,4,79,Yellow Card,14,346
38,4,88,Yellow Card,14,356
39,4,9,Yellow Card,14,342
40,4,90,Goal,13,319
41,4,90,Assist,13,328
42,4,90,Yellow Card,14,344
43,5,14,Yellow Card,7,157
44,5,17,Goal,8,189
45,5,23,Yellow Card,7,161
46,5,42,Yellow Card,8,188
47,5,90,Goal,7,184
48,6,21,Goal,10,245
49,6,21,Assist,10,244
50,6,32,Goal,9,215
51,6,32,Assist,9,216
52,6,37,Yellow Card,9,213
53,6,43,Yellow Card,9,232
54,7,28,Goal,12,293
55,7,39,Yellow Card,11,270
56,7,46,Yellow Card,12,288
57,7,90,Yellow Card,12,309
58,7,90,Yellow Card,12,311
59,8,27,Goal,15,381
60,8,27,Assist,15,388
61,8,75,Goal,15,372
62,8,86,Yellow Card,16,409
63,9,21,Goal,18,450
64,9,38,Goal,17,431
65,9,38,Assist,17,434
66,9,45,Goal,17,423
67,9,47,Goal,17,426
68,9,47,Assist,17,422
69,9,6,Goal,17,439
70,9,6,Assist,17,433
71,9,68,Goal,17,434
72,9,68,Assist,17,442
73,9,78,Goal,17,442
74,9,78,Assist,17,422
75,9,88,Goal,17,423
76,9,88,Assist,17,442
77,10,50,Goal,21,524
78,10,50,Assist,21,528
79,10,57,Goal,22,559
80,10,57,Assist,22,554
81,10,61,Yellow Card,21,544
82,10,64,Goal,21,544
83,10,64,Assist,21,528
