lineup_id,match_id,player_id,team_id,is_starting_xi,tactical_position,minutes_played
1,1,1,1,1,GK,90
2,1,2,1,0,DEF,0
3,1,3,1,1,DEF,90
4,1,4,1,0,DEF,14
5,1,5,1,1,DEF,90
6,1,6,1,1,MID,76
7,1,7,1,0,MID,0
8,1,8,1,1,MID,66
9,1,9,1,1,FWD,76
10,1,10,1,0,FWD,11
11,1,11,1,0,FWD,0
12,1,12,1,0,GK,0
13,1,13,1,0,GK,0
14,1,14,1,0,FWD,14
15,1,15,1,1,DEF,90
16,1,16,1,1,FWD,79
17,1,17,1,0,MID,0
18,1,18,1,0,MID,0
19,1,19,1,0,MID,24
20,1,20,1,0,DEF,0
21,1,21,1,0,FWD,0
22,1,22,1,0,FWD,0
23,1,23,1,1,DEF,90
24,1,24,1,0,MID,24
25,1,25,1,1,FWD,90
26,1,26,1,1,MID,66
27,1,27,2,1,GK,90
28,1,28,2,0,DEF,0
29,1,29,2,0,DEF,0
30,1,30,2,1,MID,90
31,1,31,2,0,MID,34
32,1,32,2,1,DEF,76
33,1,33,2,0,FWD,14
34,1,34,2,0,FWD,0
35,1,35,2,1,FWD,56
36,1,36,2,0,FWD,0
37,1,37,2,0,MID,29
38,1,38,2,0,FWD,0
39,1,39,2,1,MID,90
40,1,40,2,1,DEF,90
41,1,41,2,1,FWD,76
42,1,42,2,0,GK,0
43,1,43,2,0,FWD,14
44,1,44,2,0,DEF,0
45,1,45,2,1,DEF,90
46,1,46,2,1,DEF,90
47,1,47,2,1,DEF,90
48,1,48,2,0,GK,0
49,1,49,2,1,MID,61
50,1,50,2,0,DEF,0
51,1,51,2,0,FWD,0
52,1,52,2,0,DEF,0
53,2,53,3,1,GK,90
54,2,54,3,1,DEF,90
55,2,55,3,1,MID,90
56,2,56,3,1,DEF,90
57,2,57,3,0,DEF,0
58,2,58,3,1,MID,84
59,2,59,3,1,FWD,69
60,2,60,3,1,MID,84
61,2,61,3,0,FWD,0
62,2,62,3,1,MID,62
63,2,63,3,0,MID,28
64,2,64,3,0,GK,0
65,2,65,3,1,DEF,69
66,2,66,3,0,DEF,0
67,2,67,3,0,DEF,0
68,2,68,3,0,DEF,6
69,2,69,3,0,MID,0
70,2,70,3,0,FWD,21
71,2,71,3,1,MID,90
72,2,72,3,0,MID,0
73,2,73,3,0,GK,0
74,2,74,3,1,DEF,90
75,2,75,3,0,DEF,0
76,2,76,3,0,MID,6
77,2,77,3,0,MID,21
78,2,78,3,0,MID,0
79,2,79,4,1,GK,90
80,2,80,4,0,DEF,0
81,2,81,4,0,DEF,0
82,2,82,4,1,DEF,90
83,2,83,4,1,DEF,90
84,2,84,4,1,DEF,90
85,2,85,4,1,DEF,90
86,2,86,4,0,MID,0
87,2,87,4,0,FWD,27
88,2,88,4,1,FWD,63
89,2,89,4,0,FWD,0
90,2,90,4,0,MID,0
91,2,91,4,0,FWD,6
92,2,92,4,0,DEF,0
93,2,93,4,1,FWD,63
94,2,94,4,0,GK,0
95,2,95,4,1,MID,63
96,2,96,4,0,MID,27
97,2,97,4,0,FWD,27
98,2,98,4,1,DEF,90
99,2,99,4,0,DEF,0
100,2,100,4,1,MID,90
101,2,101,4,0,GK,0
102,2,102,4,1,MID,84
103,2,103,4,0,MID,0
104,2,104,4,0,FWD,0
105,3,105,5,0,GK,0
106,3,106,5,1,DEF,90
107,3,107,5,0,DEF,0
108,3,108,5,1,DEF,90
109,3,109,5,0,DEF,0
110,3,110,5,0,MID,0
111,3,111,5,1,MID,90
112,3,112,5,1,MID,90
113,3,113,5,0,FWD,14
114,3,114,5,1,FWD,61
115,3,115,5,1,MID,61
116,3,116,5,1,FWD,76
117,3,117,5,1,DEF,90
118,3,118,5,0,MID,29
119,3,119,5,0,DEF,0
120,3,120,5,1,GK,90
121,3,121,5,1,FWD,61
122,3,122,5,0,GK,0
123,3,123,5,0,DEF,0
124,3,124,5,0,FWD,29
125,3,125,5,0,MID,1
126,3,126,5,1,DEF,90
127,3,127,5,0,DEF,0
128,3,128,5,0,FWD,29
129,3,129,5,0,MID,0
130,3,130,5,0,FWD,0
131,3,131,6,1,GK,90
132,3,132,6,0,DEF,0
133,3,133,6,0,DEF,0
134,3,134,6,1,DEF,90
135,3,135,6,1,DEF,83
136,3,136,6,1,MID,90
137,3,137,6,1,DEF,90
138,3,138,6,0,MID,28
139,3,139,6,0,FWD,28
140,3,140,6,1,FWD,90
141,3,141,6,0,FWD,0
142,3,142,6,0,GK,0
143,3,143,6,1,MID,62
144,3,144,6,0,MID,16
145,3,145,6,1,MID,74
146,3,146,6,0,MID,0
147,3,147,6,0,MID,7
148,3,148,6,1,DEF,90
149,3,149,6,0,FWD,16
150,3,150,6,1,FWD,74
151,3,151,6,0,DEF,0
152,3,152,6,0,GK,0
153,3,153,6,0,FWD,0
154,3,154,6,0,DEF,0
155,3,155,6,1,FWD,62
156,3,156,6,0,MID,0
157,4,313,13,0,GK,0
158,4,314,13,1,DEF,72
159,4,315,13,1,DEF,90
160,4,316,13,1,MID,90
161,4,317,13,1,DEF,90
162,4,318,13,0,DEF,0
163,4,319,13,0,MID,8
164,4,320,13,1,MID,90
165,4,321,13,0,FWD,18
166,4,322,13,1,FWD,46
167,4,323,13,0,FWD,0
168,4,324,13,0,DEF,0
169,4,325,13,1,DEF,90
170,4,326,13,0,MID,44
171,4,327,13,0,MID,0
172,4,328,13,1,DEF,90
173,4,329,13,1,MID,82
174,4,330,13,0,DEF,0
175,4,331,13,0,FWD,0
176,4,332,13,1,FWD,72
177,4,333,13,0,FWD,18
178,4,334,13,0,DEF,0
179,4,335,13,0,DEF,0
180,4,336,13,1,GK,90
181,4,337,13,0,GK,0
182,4,338,13,0,FWD,0
183,4,339,14,0,GK,0
